DATE	SOURCE	MESSAGE
2022-09-04 13:29:39.162880	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:02.433062	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:12.689897	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:22.861456	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:33.083614	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:43.352720	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:32:53.615784	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:35:17.010949	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:35:27.296408	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:35:37.544577	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:35:47.780895	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:35:58.024856	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:08.246090	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:18.501517	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:28.707873	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:38.924140	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:49.145234	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:36:59.367476	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:37:09.561547	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:37:19.819550	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:37:30.033553	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:37:40.293349	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:03.704294	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:14.143307	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:24.376114	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:34.652897	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:44.843972	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:40:55.087143	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:05.384820	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:15.669117	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:25.913586	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:36.136602	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:46.315960	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:41:56.548940	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:42:06.827977	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:44:29.939213	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:44:40.233221	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:44:50.491346	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:00.771305	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:10.981084	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:21.303312	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:31.523352	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:41.792493	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:45:52.027798	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:46:02.327779	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:46:12.577713	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:46:22.791017	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:48:45.877279	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:48:56.113434	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:49:06.398559	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:53:42.903093	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:53:53.224698	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:03.495850	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:13.776364	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:24.021469	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:34.702125	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:44.949036	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:54:55.200067	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:05.425694	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:15.678335	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:25.998812	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:36.417470	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:46.655012	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:55:56.917705	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:07.198141	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:17.421305	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:27.691537	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:37.972945	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:48.290636	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:56:58.577085	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:08.797703	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:19.021129	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:29.288902	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:39.497675	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:49.721079	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:57:59.992131	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 13:58:10.191164	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:00:32.484393	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:00:42.823854	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:00:53.032137	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:03.351262	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:13.584810	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:23.885979	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:34.242860	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:44.642395	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:01:54.899995	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:05.118478	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:15.365368	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:25.611532	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:35.865564	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:46.174692	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:02:56.371991	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:06.631331	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:16.809327	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:27.034291	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:37.315922	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:47.543917	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:03:57.856941	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:08.084595	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:18.349556	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:28.609132	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:38.839293	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:49.195253	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:04:59.549427	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:05:09.724519	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:05:19.962335	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:05:30.212241	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:05:40.454370	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:05:50.662485	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:06:00.904241	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:06:11.186413	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:06:21.449746	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:06:31.652634	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:08:54.305132	Wall Street Journal Business	'NoneType' object is not subscriptable
2022-09-04 14:09:04.815502	Wall Street Journal Business	'NoneType' object is not subscriptable
