DATE,TITLE,SUMMARY
2023-01-05 07:00:20,"Anonymous claims Serbia is 'Putin's puppet,' Russia looks to expand war in Europe and 'distract the West'","Kosovo closed the border to Serbia after ethnic Serbians created a blockade and fired at authorities, but Serbian President Aleksandar Vucic helped to relax the situation."
2023-01-05 07:39:49,"Pope Emeritus Benedict XVI funeral mass held in Saint Peter's Square, presided over by Pope Francis","Pope Francis will preside over the funeral mass for Pope Emeritus Benedict XVI on Thursday. The Vatican announced Pope Benedict's death on Saturday, Jan. 1, 2023."
2023-01-05 10:39:39,"Pope Benedict XVI's funeral: Pope Francis remembers the dead pontiff's life, legacy and courage","Pope Francis presided over former Pope Benedict XVI's funeral mass in St. Peter's Square Thursday, remembering his life, legacy, and courage for resigning from the papacy."
2023-01-05 14:23:47,Biden considers sending Bradley Fighting Vehicles as Ukraine pleads for tanks,President Biden said the U.S. is considering sending Kyiv Bradley Fighting Vehicles as Ukrainian President Volodymyr Zelenskyy continues to request tanks for tough fight on eastern front.
2023-01-05 15:29:56,Putin orders temporary ceasefire in Ukraine in observation of Orthodox Christmas,Russian President Vladimir Putin called on his defense minister to order for a temporary ceasefire in Ukraine in observation of Orthodox Christmas.
2023-01-05 15:18:14,Russia's Wagner chief frees first round of convicts who traded jail time for war in Ukraine,Head of Russia' mercenary Wagner Group released the first round of convicts who traded jail time to join the war in Ukraine.
2023-01-05 15:01:56,COVID infected Chinese tourist caught in South Korea after fleeing quarantine center,A Chinese man was able to evade South Korean authorities for two days after fleeing mandatory quarantine when he tested positive for COVID-19 upon arrival in the country.
2023-01-05 17:13:24,El Chapo's son has been captured in Sinaloa in Mexican military operation: report,"Mexican authorities arrested Ovidio Guzman, the son of El Chapo and the leader of Los Chapitos, in Sinaloa on Thursday."
2023-01-05 16:59:20,Germany working on legislation to enable use of underground carbon storage technology,"Germany is looking into enabling the use of underground carbon storage. The country's climate minister feels there could be a ""new market"" for carbon capture and storage."
2023-01-05 16:26:27,Third Australian cruise in weeks turns into 'nightmare' after fungus outbreak prevents entry into New Zealand,"Over the past few weeks, passengers on 3 cruise ships had their plans derailed when the ships were denied entry into New Zealand due to environmental standards."
2023-01-05 18:33:46,State Dept. offers $10 million reward for info on 2020 US base attack in Kenya that killed 3 Americans,The State Department marked the third anniversary of the al-Shabaab attack on the Manda Bay base in Kenya by offering a $10 million reward to those who have information on those involved.
2023-01-05 18:30:40,Pope Benedict XVI laid to rest under St. Peter's Basilica in private ceremony,The late Pope Benedict XVI was laid to rest after days of public mourning and prayer in a private ceremony burying him in the crypt under St. Peter's Basilica.
2023-01-05 18:22:17,French Defense Ministry expected to send armored combat vehicles to Ukraine,Ukraine is expecting to receive armored combat vehicles from the French Defense Ministry. The countries' officials will meet to discuss a delivery timetable and training.
2023-01-05 20:19:01,Hong Kong ends year-long hamster import ban: report,Several countries culled hundreds of thousands of mink in 2020 after determining that the populations at farms had COVID-19 infections and risked transmission to other animals.
2023-01-05 23:37:47,Mexican authorities confirm arrest of son of drug kingpin ‘El Chapo’ after 6-month interagency investigation,"A six-month investigation involving multiple agencies led to Thursday's arrest of Ovidio Guzman Lopez, the son of notorious Mexican drug kingpin Joaquin ""El Chapo"" Guzman."
2023-01-06 02:50:51,Mexican cartel leader killed in shootout with police after escaping prison,Mexican authorities say a drug cartel leader died Thursday after a shootout with police following a violent escape from prison earlier in the week.
2023-01-06 02:48:38,"Taiwan officials say 17 Chinese military aircraft, 3 ships, entered space close to island","Taiwanese officials say that 17 Chinese military aircraft, in addition to three ships, entered an area that is close to the island on Friday morning."
2023-01-06 07:00:51,"China COVID crisis: Beijing hospital runs out of beds, families burn bodies in streets as deaths spike",Some videos on Twitter show families allegedly burning the bodies of loved ones in the streets of Chinese cities as funeral homes struggle to handle the surge in COVID deaths.
2023-01-06 14:14:00,White House hopeful war with China over Taiwan 'never comes to pass': report,White House National Security Adviser Jake Sullivan said he believes war with China over Taiwan can be avoided even as tensions remain high in the region.
2023-01-06 13:44:14,"Sinaloa, Mexico engulfed by violence, chaos after El Chapo son arrest, ahead of Biden visit to country","The region of Mexico where Ovidio Guzmán -- the son of jailed drug cartel kingpin Joaquin ""El Chapo"" Guzmán -- was taken into custody has now been hit with violence."
2023-01-06 15:06:26,"Dozens of Christian graves toppled, defaced in historic Jerusalem cemetery: 'Clear hate crime'","Roughly 30 Christian graves were vandalized inside a historic cemetery in Jerusalem, and local authorities described the desecration as a ""clear hate crime"" that has led to two arrests."
