DATE,TITLE,SUMMARY
2023-01-23 16:05:50,"GOP Rep. George Santos should resign from Congress, New York state voters say in new poll","New York voters hold a strongly unfavorable opinion of Santos, who has admitted to lying about his background and faces multiple investigations."
2023-01-23 20:29:26,"M&M's pulls 'spokescandies' amid right-wing outrage, before Super Bowl ad starring Maya Rudolph","Candy maker Mars said it is replacing its M&amp;Ms ""spokescandies"" with actress Maya Rudolph after facing right-wing criticism."
2023-01-24 18:06:36,Georgia DA investigating Trump for 2020 election interference says charging 'decisions are imminent' after grand jury report,Donald Trump is under investigation for possible crimes related to trying to overturn his 2020 election loss to President Joe Biden.
2023-01-24 17:58:00,Classified documents found at Mike Pence's home in Indiana,
2023-01-24 17:54:28,"Putin's nuclear threats move Doomsday Clock closest ever to Armageddon, atomic scientists say","The 2023 countdown time on the clock is ""90 seconds to midnight,"" 10 seconds closer to ""doomsday"" than it had been set at last year."
2023-01-24 13:36:05,The FDA's power to approve drugs faces sweeping challenge in lawsuit seeking to pull abortion pill from U.S. market,"If the lawsuit prevails, women across the U.S. would lose access to the most common abortion method. The FDA's powers to approve drugs would also be weakened."
2023-01-24 20:24:43,Former Trump UN ambassador Nikki Haley gears up for likely 2024 run for president,"Nikki Haley, who was former President Donald Trump's ambassador to the United Nations, is gearing up for a likely 2024 run for president against her old boss."
2023-01-24 22:22:01,"Arizona Senate hopeful Ruben Gallego posts record-breaking fundraising haul in bid for Kyrsten Sinema's seat, breaking state record","More than 27,000 donations contributed to Gallego's haul, breaking a state record previously held by incumbent Democrat Sen. Mark Kelly, the campaign said."
2023-01-24 20:58:10,Trump drops second legal challenge to New York attorney general after sanctions in Hillary Clinton case,Donald Trump was sanctioned nearly $1 million for what a judge called a frivolous lawsuit against Hillary Clinton.
2023-01-24 20:39:32,Treasury tells Congress it will suspend some federal retirement investments after debt limit breach,The Treasury Department will suspend funding for a federal employee retirement benefit program until the debt ceiling is raised or suspended.
2023-01-24 20:02:38,Classified documents found at Mike Pence's Indiana home,"The classified documents were discovered on Jan. 16 after Pence had outside counsel search his own home and records ""out of an abundance of caution."""
2023-01-25 15:05:16,Fed's Lael Brainard among leading contenders for top White House economic post,"The central bank official is considered a strong candidate to succeed Brian Deece as director of the National Economic Council, the Washington Post reported."
2023-01-25 15:15:41,Arizona Senate hopeful Ruben Gallego posts record-breaking fundraising haul in bid for Kyrsten Sinema's seat,"More than 27,000 donations contributed to Gallego's haul, breaking a state record previously held by incumbent Democrat Sen. Mark Kelly, the campaign said."
2023-01-25 21:33:14,Democrats urge House Speaker McCarthy to deny GOP Rep. George Santos access to classified information,Democratic Reps. Morelle and Meeks asked McCarthy to limit Santos' ability to access classified material or attend classified briefings.
2023-01-25 19:28:28,Biden administration rolls out a blueprint for a 'renters bill of rights' – Here's what it includes,"The Biden administration rolled out a blueprint for a renters bill of rights, a major win for tenants, advocates say."
